,friend1,friend2,weight
0,agnel.gino,dhruv.kundu.1,0.0
1,agnel.gino,anna.elisabeth.180,0.14285714285714285
2,agnel.gino,jesica.kuruvilla,0.07142857142857142
3,agnel.gino,pratibha.verma.146,0.2857142857142857
4,agnel.gino,sudhanshu.bamba,0.0
5,agnel.gino,calmin.lolo,0.21428571428571427
6,agnel.gino,baid.nehal,0.14285714285714285
7,agnel.gino,ridhi.guru.1,0.21428571428571427
8,agnel.gino,serali.murmu.96,0.07142857142857142
9,agnel.gino,TheAverageDesi/,0.0
10,agnel.gino,parth.piplani.33,0.0
11,agnel.gino,athira.james.3,0.0
12,agnel.gino,navdha.singh,0.0
13,agnel.gino,kushankarora,0.0
14,agnel.gino,debarun.bhattacharjee.9,0.0
15,agnel.gino,judish.xavier.1,0.14285714285714285
16,agnel.gino,eiha.gandhi.9,0.0
17,agnel.gino,aadit.syal,0.14285714285714285
18,agnel.gino,harshit.dewan.1,0.0
19,agnel.gino,jerry.joseph.144,0.2857142857142857
20,agnel.gino,maria.susan.165,0.0
21,agnel.gino,100006974985978,0.07142857142857142
22,agnel.gino,olive.pete0007,0.07142857142857142
23,agnel.gino,100006723948855,0.07142857142857142
24,agnel.gino,Ridhim23,0.07142857142857142
25,agnel.gino,shivang.chandna,0.21428571428571427
26,agnel.gino,tereen.gupta,0.14285714285714285
27,agnel.gino,abhinav.vadhera,0.0
28,agnel.gino,simona.shamim,0.07142857142857142
29,agnel.gino,joel.johncy.Rhapstudio,0.0
30,agnel.gino,senskori.boi,0.21428571428571427
31,agnel.gino,mhkgpta36,0.07142857142857142
32,agnel.gino,vaibhav.juneja.50,0.0
33,agnel.gino,bruce.wayne26082000,0.14285714285714285
34,agnel.gino,shubham.malhotra.1023,0.0
35,agnel.gino,avrachan.ashima,0.14285714285714285
36,agnel.gino,dev.grover.9,0.0
37,agnel.gino,Prince.Gautam101,0.21428571428571427
38,agnel.gino,100013473167007,0.14285714285714285
39,agnel.gino,tesa.zacharias,0.21428571428571427
40,agnel.gino,100009832142943,0.14285714285714285
41,agnel.gino,mansha.gandhi.98,0.14285714285714285
42,agnel.gino,steve.james.1232,0.07142857142857142
43,agnel.gino,ujjawal.khurana.5,0.14285714285714285
44,agnel.gino,janvi.juneja.311,0.21428571428571427
45,agnel.gino,jiji.manoj.92,0.0
46,agnel.gino,dilkiran.taneja,0.0
47,agnel.gino,mayan.bhandari.18,0.0
48,agnel.gino,ashiliene.francis.9,0.14285714285714285
49,agnel.gino,aarnold.toppo,0.14285714285714285
50,agnel.gino,rahul.khairwal.3,0.21428571428571427
51,agnel.gino,avneet.hardeep,0.21428571428571427
52,agnel.gino,divyansh.dixit.3,0.07142857142857142
53,agnel.gino,susy.andrat,0.14285714285714285
54,agnel.gino,Kanavdahiya24,0.0
55,agnel.gino,nigel.joeharris,0.07142857142857142
56,agnel.gino,parina.chadha,0.07142857142857142
57,agnel.gino,kritika.chhabra.50,0.07142857142857142
58,agnel.gino,100008339340599,0.0
59,agnel.gino,johnson.jminz,0.0
60,agnel.gino,sanah.prem,0.14285714285714285
61,agnel.gino,sprsh99,0.0
62,agnel.gino,arushi.dheer,0.21428571428571427
63,agnel.gino,garv.madan,0.07142857142857142
64,agnel.gino,vinita.gilbert,0.21428571428571427
65,agnel.gino,sofia.skaria,0.14285714285714285
66,agnel.gino,shohini.ahuja,0.0
67,agnel.gino,chris.tomy.54,0.0
68,agnel.gino,ThitikshaAnna,0.07142857142857142
69,agnel.gino,supremeleaderkriti,0.14285714285714285
70,agnel.gino,marin.jones.50,0.21428571428571427
71,agnel.gino,mourice.clement,0.21428571428571427
72,agnel.gino,100009568963978,0.14285714285714285
73,agnel.gino,hritik.malhotra.9,0.0
74,agnel.gino,chirag.sachdeva.568,0.14285714285714285
75,agnel.gino,rachit.kohli.92,0.07142857142857142
76,agnel.gino,karan.sethi.969300,0.2857142857142857
77,agnel.gino,ajinjosephAJ/,0.0
78,agnel.gino,arjun.chawla.96,0.0
79,agnel.gino,renny.toppo,0.21428571428571427
80,agnel.gino,100009695940187,0.07142857142857142
81,agnel.gino,simran.grover.7528,0.0
82,agnel.gino,kritika.gaba.121,0.0
83,agnel.gino,satishaccountsclasses/,0.0
84,agnel.gino,nikhil.thomas.94402,0.0
85,agnel.gino,rashie.grover,0.07142857142857142
86,agnel.gino,anushka98rajesh,0.14285714285714285
87,agnel.gino,bhumika.arora.5496,0.14285714285714285
88,agnel.gino,rishab.kohli.75,0.07142857142857142
89,agnel.gino,christo.babu.16,0.2857142857142857
90,agnel.gino,100008332392620,0.0
91,agnel.gino,100007926002513,0.07142857142857142
92,agnel.gino,100009582011007,0.0
93,agnel.gino,sachwin.kohli,0.07142857142857142
94,agnel.gino,vatsal.bahl.7,0.14285714285714285
95,agnel.gino,vidhi.lamba.1,0.14285714285714285
96,agnel.gino,niharika.sehrawat.1,0.14285714285714285
97,agnel.gino,nishtha.ahuja.79,0.14285714285714285
98,agnel.gino,rishabh.sabharwal.1,0.07142857142857142
99,agnel.gino,gautam.oberoi.378,0.07142857142857142
100,agnel.gino,saachi.singh.96,0.0
101,agnel.gino,abhijeetmaniktala,0.21428571428571427
102,agnel.gino,souledstore/,0.0
103,agnel.gino,kartik.maggu.5,0.14285714285714285
104,agnel.gino,DhingraNandini,0.21428571428571427
105,agnel.gino,dennis.joseph.9028,0.0
106,agnel.gino,ayushi.yadav.712,0.2857142857142857
107,agnel.gino,prakriti.sharma.5688,0.07142857142857142
108,agnel.gino,bhav.deep.9,0.21428571428571427
109,agnel.gino,bunny.singh.1420,0.0
110,agnel.gino,100003190676893,0.21428571428571427
111,agnel.gino,yashvani.daima,0.14285714285714285
112,agnel.gino,smriti.grover.547,0.21428571428571427
113,agnel.gino,agrim.sfs,0.14285714285714285
114,agnel.gino,pewdiepie.gloria.borger,0.0
115,agnel.gino,priyanka.sehgal.142,0.0
116,agnel.gino,shubbhzx,0.14285714285714285
117,agnel.gino,atul.bakshi.397,0.0
118,agnel.gino,arushi.sawhney.3,0.07142857142857142
119,agnel.gino,Hardik.Mittal.1802,0.14285714285714285
120,agnel.gino,parshva.jain.96,0.14285714285714285
121,agnel.gino,rahul.dwivedi.1426,0.0
122,agnel.gino,rishabh.vasu,0.14285714285714285
123,agnel.gino,yatharth.ojha.90,0.21428571428571427
124,agnel.gino,khushali.verma.27,0.0
125,agnel.gino,shambhavi.jha.12,0.07142857142857142
126,agnel.gino,vanshika.arora.27,0.14285714285714285
127,agnel.gino,myjabong/,0.0
128,agnel.gino,suhani.sharma.9256,0.07142857142857142
129,agnel.gino,adarsh.stanly,0.0
130,agnel.gino,AntonyGeorgeIamBatman,0.21428571428571427
131,agnel.gino,ashwini.ojha.359,0.14285714285714285
132,agnel.gino,100008342496129,0.14285714285714285
133,agnel.gino,100009441293664,0.0
134,agnel.gino,arshdeep.thaper,0.0
135,agnel.gino,sakshikamalhotra1,0.07142857142857142
136,agnel.gino,bhavleen.taneja,0.14285714285714285
137,agnel.gino,aadya.agarwal.923,0.07142857142857142
138,agnel.gino,himanshu.karwal.9,0.0
